dataset,perm,gene,eta2_X
depmap,0,CRELD2,0.02463362298199766
depmap,0,CRK,0.041708437401440104
depmap,0,CRKL,0.027308070966656352
depmap,0,CRTAP,0.04233137554206475
depmap,0,CRYZ,0.027018206260898965
depmap,0,CSK,0.01964717852221751
depmap,0,CSNK1A1,0.03645780119140069
depmap,0,CSNK1E,0.022007467046557105
depmap,0,CSNK2A2,0.02882566288544521
depmap,0,CSRP1,0.03372083891023189
depmap,0,CTNNAL1,0.026447752585475173
depmap,0,CTNND1,0.02980606317452325
depmap,0,CTPS1,0.02735479782559667
depmap,0,CTTN,0.037721306426499304
depmap,0,CXCL2,0.01901757776577156
depmap,0,CXCR4,0.028875701377296163
depmap,0,CXXC5,0.023170769860403426
depmap,0,CYB561,0.03257831350632814
depmap,0,CYTH1,0.019167459925371583
depmap,0,DAG1,0.02632882446072432
depmap,0,DAXX,0.023181053815867995
depmap,0,DBR1,0.0173208616639919
depmap,0,DCK,0.018632646756241537
depmap,0,DCTD,0.025703633211082766
depmap,0,DCUN1D4,0.031840245397872315
depmap,0,DDB2,0.0257917126678191
depmap,0,DDIT4,0.02711057520122744
depmap,0,DDR1,0.028162633409531977
depmap,0,DDX10,0.03601631378820116
depmap,0,DDX3X,0.035644776731405266
depmap,0,DDX42,0.029019690488273922
depmap,0,DECR1,0.018631005962284803
depmap,0,DENND2D,0.02057738524082876
depmap,0,DERA,0.03564704667921707
depmap,0,DFFA,0.019045656906034967
depmap,0,DFFB,0.03878203214384682
depmap,0,DHDDS,0.023331909691663977
depmap,0,DHFR,0.020646765269392017
depmap,0,DHRS7,0.03497145817700478
depmap,0,DHX29,0.02624806042507508
depmap,0,DIPK1A,0.027910236589917547
depmap,0,DLD,0.03579077695672341
depmap,0,DMTF1,0.028552894725234274
depmap,0,DNAJA3,0.023684099751804705
depmap,0,DNAJB1,0.0329034365001419
depmap,0,DNAJB2,0.04034485140967391
depmap,0,DNAJB6,0.03819550163471013
depmap,0,DNAJC15,0.012912030468253672
depmap,0,DNAJC9,0.028997519472398932
depmap,0,DNM1,0.017199018535682026
depmap,0,DNM1L,0.01968897707053569
depmap,0,DNM2,0.03738216925579724
depmap,0,DNMT1,0.03355345016849528
depmap,0,DNMT3A,0.028890947306244145
depmap,0,DNTTIP2,0.032734048946524
depmap,0,DONSON,0.02047971297112154
depmap,0,DPAGT1,0.030761614556747193
depmap,0,DPH2,0.03765682684113682
depmap,0,DRAP1,0.028444944697679962
depmap,0,DSG2,0.024484979208061128
depmap,0,DTYMK,0.026282923932560126
depmap,0,DUSP11,0.03166367841601387
depmap,0,DUSP14,0.030393783240417378
depmap,0,DUSP22,0.013919910437912596
depmap,0,DUSP3,0.030328928822374077
depmap,0,DUSP4,0.030850871209529097
depmap,0,DUSP6,0.030731586975253418
depmap,0,DUT,0.02256659046380374
depmap,0,DYNLRB1,0.03506243162123693
depmap,0,DYRK3,0.021666263972621867
depmap,0,E2F2,0.021156416690735383
depmap,0,EAPP,0.02774241989379984
depmap,0,EBNA1BP2,0.03120676078371536
depmap,0,ECD,0.03745412856838724
depmap,0,ECH1,0.020848407374196302
depmap,0,EDEM1,0.01804070035761196
depmap,0,EDN1,0.027963007681063454
depmap,0,EED,0.04496437834509254
depmap,0,EEF1A1,0.029781325295317185
depmap,0,EEF2,0.035942623941841
depmap,0,EFCAB14,0.028525735966537683
depmap,0,EFR3A,0.030161212405608227
depmap,0,EGF,0.03512632786817177
depmap,0,EGFR,0.017767617304464658
depmap,0,EGR1,0.029543322297567138
depmap,0,EIF1AX,0.021193650647067058
depmap,0,EIF4A1,0.02491270140792812
depmap,0,EIF4EBP1,0.03539750938905496
depmap,0,EIF5,0.01824408422563616
depmap,0,ELAC2,0.02579982983584717
depmap,0,ELAVL1,0.02209274686536732
depmap,0,ELL,0.03242518698796935
depmap,0,ELOVL6,0.017801727985991063
depmap,0,EMC3,0.03519181819796146
depmap,0,EML3,0.02333001021570816
depmap,0,ENOPH1,0.019772806899070672
depmap,0,ENOSF1,0.030737524534386145
depmap,0,EP300,0.021656681711257987
depmap,0,EPB41L2,0.034117099287803564
depmap,0,EPHA3,0.025933228935941362
depmap,0,EPHB2,0.02148825003877279
depmap,0,EPN2,0.023367525752256237
depmap,0,EPRS1,0.035298982120539536
depmap,0,ERBB2,0.02162302844104182
depmap,0,ERBB3,0.01400942492919072
depmap,0,ESPL1,0.020252716708226717
depmap,0,ESR1,0.05421753854826971
depmap,0,ETFB,0.018872321759882293
depmap,0,ETS1,0.03573439542887181
depmap,0,ETV1,0.016893538204358387
depmap,0,EVL,0.019328358642315805
depmap,0,EXO1,0.019065434931054046
depmap,0,EXOSC4,0.02583860941431421
depmap,0,EXT1,0.03280354612584426
depmap,0,EZH2,0.024788736425684212
depmap,0,FAH,0.03142917822676492
depmap,0,FAIM,0.021801983117153836
depmap,0,FAM20B,0.0477615472045169
depmap,0,FAM50A,0.016920550925747544
depmap,0,FARSB,0.028506513635078334
depmap,0,FAS,0.02840151559376775
depmap,0,FAT1,0.032836462310207745
depmap,0,FAU,0.04374412704810821
depmap,0,FBXL12,0.03692767032242046
depmap,0,FBXO11,0.017525038880318693
depmap,0,FBXO21,0.04025799258609452
depmap,0,FBXO7,0.021146594124329492
depmap,0,FCHO1,0.027163147078484013
depmap,0,FDFT1,0.026700594972981686
depmap,0,FERMT2,0.02125089853770482
depmap,0,FEZ2,0.04977275191880702
depmap,0,FGFR2,0.01630998839069432
depmap,0,FGFR4,0.015415666741799765
depmap,0,FHL2,0.035435192703544074
depmap,0,FIS1,0.04027976087188781
depmap,0,FKBP14,0.040552632170771194
depmap,0,FKBP4,0.03851199643294208
depmap,0,FOS,0.017657075893226324
depmap,0,FOSL1,0.02688658489830403
depmap,0,FOXA1,0.02889634303788632
depmap,0,FOXC1,0.02483444414106503
depmap,0,FOXJ3,0.03026083453401739
depmap,0,FOXO3,0.030970921494370175
depmap,0,FPGS,0.01891192338258971
depmap,0,FRS2,0.04700963012631097
depmap,0,FSD1,0.021444954458967217
depmap,0,FUT1,0.021796296194001395
depmap,0,FYN,0.026352703689630018
depmap,0,FZD1,0.025880299332163088
depmap,0,FZD7,0.02234726040431145
depmap,0,G3BP1,0.04517805547767541
depmap,0,GAA,0.03540693705015926
depmap,0,GABPB1,0.03440571248937999
depmap,0,GADD45A,0.0219367588142237
depmap,0,GADD45B,0.030214408722251094
depmap,0,GALE,0.020823627601778475
depmap,0,GAPDH,0.026034972996099106
depmap,0,GARRE1,0.028774384199253208
depmap,0,GATA2,0.028450186270503847
depmap,0,GATA3,0.03376127405633102
depmap,0,GDPD5,0.022840178733602647
depmap,0,GET1,0.03821049395689432
depmap,0,GFOD1,0.015977189852160047
depmap,0,GFPT1,0.049285681743844435
depmap,0,GFUS,0.029024610858365975
depmap,0,GGPS1,0.03032837965881332
depmap,0,GHR,0.03465749802366424
depmap,0,GINS2,0.023761596175351576
depmap,0,GLI2,0.02416376108801806
depmap,0,GLOD4,0.036229887203911515
depmap,0,GLRX,0.03441955861642423
depmap,0,GMNN,0.024933234242652327
depmap,0,GMPS,0.03186635368420121
depmap,0,GNA11,0.029118417872050075
depmap,0,GNA15,0.02963869834959096
depmap,0,GNAI1,0.024754307268187867
depmap,0,GNAI2,0.02336401360300758
depmap,0,GNAS,0.026686707580037213
depmap,0,GNB5,0.026718927384085538
depmap,0,GNPDA1,0.02479312658979933
depmap,0,GOLT1B,0.040753379572895154
depmap,0,GPATCH8,0.03455442143639629
depmap,0,GPC1,0.040253360094973635
depmap,0,GPN2,0.02642512602801584
depmap,0,GPR160,0.03055473979606249
depmap,0,GPX4,0.02702807604922605
depmap,0,GRB10,0.028560501306257213
depmap,0,GRB2,0.024530465290482032
depmap,0,GRB7,0.016805574199515786
depmap,0,GRN,0.029926375639604236
depmap,0,GRWD1,0.030759205316369595
depmap,0,GSPT1,0.025272254330616698
depmap,0,GSTZ1,0.025841180830350852
depmap,0,GTF2A2,0.030384407735589244
depmap,0,GTF2E2,0.019656355359081952
depmap,0,GTPBP4,0.03397977518892012
depmap,0,GTPBP8,0.026509496130654512
depmap,0,GUK1,0.025109854338516212
depmap,0,H2AZ2,0.03557359413450306
depmap,0,H2BC12,0.03379502227661191
depmap,0,H2BC15,0.017435462146281618
depmap,0,H2BC21,0.029970290161800583
depmap,0,HADH,0.023406907727397928
depmap,0,HAT1,0.028334039488484557
depmap,0,HDAC2,0.0249582882871412
depmap,0,HEATR1,0.02923196048351712
depmap,0,HEBP1,0.024800713842786173
depmap,0,HERC6,0.02964367163476592
depmap,0,HERPUD1,0.025557790453384476
depmap,0,HES1,0.02454431204081377
depmap,0,HK1,0.04370870889404272
depmap,0,HLA-DRA,0.023011085739675776
depmap,0,HMG20B,0.021039353236344295
depmap,0,HMGA2,0.024939703466776326
depmap,0,HMGCR,0.04425228791041111
depmap,0,HMGCS1,0.045511038046001324
depmap,0,HMOX1,0.027896914962321762
depmap,0,HNF1B,0.020962641617372706
depmap,0,HNRNPH1,0.01679105790615724
depmap,0,HOMER2,0.0277122972340847
depmap,0,HOOK2,0.017680614624388653
depmap,0,HS2ST1,0.04567179033344044
depmap,0,HSPA1A,0.03636153526298395
depmap,0,HSPA4,0.04056204704927487
depmap,0,HSPA8,0.04364809121766225
depmap,0,HSPD1,0.032836017708228575
depmap,0,HTRA1,0.03569600602723828
depmap,0,HYOU1,0.03246954112415739
depmap,0,IARS2,0.034766528803651726
depmap,0,ICAM1,0.03003367291050724
depmap,0,ICAM3,0.03916016248430113
depmap,0,ICMT,0.027933184374460407
depmap,0,ID2,0.02197881517218341
depmap,0,IDE,0.03810355039047951
depmap,0,IER3,0.03587225580986539
depmap,0,IFNAR1,0.03686173855825789
depmap,0,IFRD2,0.03305212022278049
depmap,0,IGF1R,0.02369529844426591
depmap,0,IGF2BP2,0.02295299758003112
depmap,0,IGF2R,0.02658587219318129
depmap,0,IGFBP3,0.034504253445570975
depmap,0,IGHMBP2,0.028716447951878037
depmap,0,IKBKB,0.023138458481866495
depmap,0,IKBKE,0.031030345391005215
depmap,0,IKZF1,0.019360515154089535
depmap,0,IL1B,0.03542944617910865
depmap,0,IL4R,0.025612751784430083
depmap,0,ILK,0.026286992119857872
depmap,0,INPP1,0.02873613634798841
depmap,0,INPP4B,0.03246190730026931
depmap,0,INSIG1,0.037421725084689515
depmap,0,INTS3,0.03300527615108997
depmap,0,INTS6,0.03754722288844098
depmap,0,IPO13,0.01503970949538229
depmap,0,IQGAP1,0.033967923026067014
depmap,0,ISOC1,0.0397153313220449
depmap,0,ITFG1,0.047846153335145386
depmap,0,ITGAE,0.028328019026486927
depmap,0,ITGAV,0.03351568446465184
depmap,0,ITGB1BP1,0.028103151737195783
depmap,0,ITGB5,0.04166051507686141
depmap,0,JMJD6,0.034150423313692585
depmap,0,JUN,0.02426476574290704
depmap,0,KAT6A,0.01713285240163962
depmap,0,KAT6B,0.02229061673811784
depmap,0,KCNK1,0.01805022008243094
depmap,0,KCTD5,0.03912146103131306
depmap,0,KDM3A,0.029451779288948193
depmap,0,KDM5A,0.02657109352979966
depmap,0,KDM5B,0.019810490345857575
depmap,0,KEAP1,0.010868096805130255
depmap,0,KIAA0753,0.030657245933713898
depmap,0,KIF11,0.020369760976935887
depmap,0,KIF14,0.02532972375296568
depmap,0,KIF18A,0.02718409229956757
depmap,0,KIF20A,0.026941734604730316
depmap,0,KIF2C,0.028666650803042263
depmap,0,KIF5C,0.024669581725495285
depmap,0,KIT,0.023374620826680667
depmap,0,KLF5,0.018108800348831847
depmap,0,KLHDC2,0.023289592894989077
depmap,0,KLHL21,0.013512654395105392
depmap,0,KLHL9,0.022160703808950646
depmap,0,KRAS,0.03178186284853947
depmap,0,KRT14,0.0189566375089989
depmap,0,KRT17,0.018841872880810413
depmap,0,KRT5,0.018028497056277983
depmap,0,KTN1,0.04687995409364059
depmap,0,LAMA3,0.025193039681973003
depmap,0,LAP3,0.029270323013901357
depmap,0,LBR,0.02978807879609816
depmap,0,LGALS8,0.028044153760418303
depmap,0,LGMN,0.03519873024299009
depmap,0,LIG1,0.03167710585506218
depmap,0,LIPA,0.042513406391271616
depmap,0,LONP1,0.023073197150854187
depmap,0,LOXL1,0.023718999798894903
depmap,0,LPAR2,0.02929588409745514
depmap,0,LPGAT1,0.028407764032035182
depmap,0,LRP10,0.030038782126209227
depmap,0,LRPAP1,0.02702226547546056
depmap,0,LRRC41,0.032270079611183985
depmap,0,LSM6,0.029194039567386493
depmap,0,LSM8,0.026120922987463005
depmap,0,LSR,0.02061834503981447
depmap,0,LYN,0.02336177756300805
depmap,0,LYRM1,0.03368164595265588
depmap,0,MACF1,0.04145765922498406
depmap,0,MAD2L2,0.01856273064616313
depmap,0,MAGOH,0.03659958586656453
depmap,0,MALT1,0.036593674027528965
depmap,0,MAN2B1,0.030944232864816443
depmap,0,MAP2K5,0.018675211517900966
depmap,0,MAP3K4,0.01956774367881728
depmap,0,MAP4K4,0.024277231372743596
depmap,0,MAP7,0.022392365292564165
depmap,0,MAPK13,0.034873406070827805
depmap,0,MAPK1IP1L,0.04631548817362814
depmap,0,MAPK9,0.03690577687124184
depmap,0,MAPKAPK2,0.03177325060951179
depmap,0,MAPKAPK3,0.0195071830611272
depmap,0,MAPKAPK5,0.029697250432510994
depmap,0,MAPT,0.025546828715724185
depmap,0,MARS2,0.027869348034382145
depmap,0,MAST2,0.027029332895567748
depmap,0,MAT2A,0.03237700928129524
depmap,0,MBNL1,0.02443722584230459
depmap,0,MBNL2,0.02977635120927246
depmap,0,MBOAT7,0.02776061103999283
depmap,0,MBTPS1,0.025577399948173127
depmap,0,MCL1,0.037724731463019044
depmap,0,MCM3,0.0285533996162305
depmap,0,MCOLN1,0.024148223847998498
depmap,0,MDM2,0.020440254846144087
depmap,0,ME2,0.02112045805415048
depmap,0,MED1,0.019951623214225007
depmap,0,MED12,0.025029502355176564
depmap,0,MEF2C,0.023781725188174136
depmap,0,MELK,0.02214252001230033
depmap,0,MEST,0.032237064791999746
depmap,0,MFSD10,0.021607934511464644
depmap,0,MIA,0.01746767297646525
depmap,0,MICALL1,0.017333422297153223
depmap,0,MKI67,0.02761268673602885
depmap,0,MKNK1,0.02264788364070496
depmap,0,MLEC,0.031392282887522285
depmap,0,MLLT11,0.02470056619421822
depmap,0,MLPH,0.0345677066828512
depmap,0,MMP1,0.04065383247905899
depmap,0,MMP11,0.02451810752392362
depmap,0,MMP2,0.023331463130272533
depmap,0,MMS22L,0.025526766989818456
depmap,0,MOK,0.03318321348838572
depmap,0,MPC2,0.025555236844468636
depmap,0,MPZL1,0.03403122778893172
depmap,0,MRPL19,0.026461901477950144
depmap,0,MRPL33,0.025490443399369213
depmap,0,MRPL57,0.022661136540878285
depmap,0,MRPS16,0.026351744571406904
depmap,0,MRPS2,0.014728957539239444
depmap,0,MSH6,0.026558908203598568
depmap,0,MSRA,0.034440146319315766
depmap,0,MSTO1,0.03449230353247376
depmap,0,MTA1,0.027491078385349754
depmap,0,MTF2,0.025874729962403586
depmap,0,MTFR1,0.03479699009892337
depmap,0,MTHFD2,0.026564337610400633
depmap,0,MUC1,0.03398328351832746
depmap,0,MVP,0.0375992743572701
depmap,0,MYBL2,0.035418849277362476
depmap,0,MYC,0.021837977232595403
depmap,0,MYCBP,0.03823959707527234
depmap,0,MYCBP2,0.02047781787578259
depmap,0,MYH9,0.03171466432377743
depmap,0,MYL9,0.014268969069058283
depmap,0,MYLK,0.0365926703536484
depmap,0,MYO10,0.022088740402266237
depmap,0,NAA10,0.018431499735819642
depmap,0,NAPG,0.019436226387449577
depmap,0,NAT1,0.026894219956078633
depmap,0,NCAPD2,0.026704357285494234
depmap,0,NCAPD3,0.03078957553834288
depmap,0,NCK2,0.020755187609588183
depmap,0,NCOA3,0.01874108661507019
depmap,0,NDC80,0.026280554383878295
depmap,0,NELFB,0.020607075123801468
depmap,0,NENF,0.02737735311738679
depmap,0,NET1,0.029167884565169968
depmap,0,NF2,0.02035734168374492
depmap,0,NFATC3,0.02453540398203718
depmap,0,NFATC4,0.016348910569145475
depmap,0,NFE2L2,0.03904578454649988
depmap,0,NFIL3,0.025722807187850756
depmap,0,NFKB2,0.026636942627903715
depmap,0,NFKBIA,0.02818774103490558
depmap,0,NFKBIB,0.02590598101685199
depmap,0,NFKBIE,0.04087396349014729
depmap,0,NHLRC2,0.0275367441117024
depmap,0,NIPSNAP1,0.024659357687063285
depmap,0,NISCH,0.025657078480235376
depmap,0,NIT1,0.02490469602340202
depmap,0,NMNAT1,0.030559295831838106
depmap,0,NMT1,0.03016244468318536
depmap,0,NNT,0.021051734368544375
depmap,0,NOL3,0.032237627508551546
depmap,0,NOLC1,0.021297778403964816
depmap,0,NOS3,0.030366161755166397
depmap,0,NOSIP,0.037071657252370445
depmap,0,NOTCH1,0.024989132364806245
depmap,0,NPC1,0.03057747848757056
depmap,0,NPDC1,0.023559354460289873
depmap,0,NPEPL1,0.019707186920955782
depmap,0,NPM1,0.020178787773259443
depmap,0,NPRL2,0.020417695676986133
depmap,0,NR1H2,0.021873856636644564
depmap,0,NR2F6,0.01732990404751425
depmap,0,NR3C1,0.031629359396873995
depmap,0,NRAS,0.028328160246916166
depmap,0,NRIP1,0.02248523806379214
depmap,0,NSF,0.03592490048360386
depmap,0,NT5DC2,0.03467394172427164
depmap,0,NUCB2,0.03478714225746872
depmap,0,NUDCD3,0.023304190970789725
depmap,0,NUDT9,0.022980121777368752
depmap,0,NUF2,0.031005479967572185
depmap,0,NUP133,0.029358539338424645
depmap,0,NUP43,0.03035036933500045
depmap,0,NUP85,0.03148720531621338
depmap,0,NUP88,0.032808274585617817
depmap,0,NUP93,0.024983147184214263
depmap,0,NUSAP1,0.021829265525426925
depmap,0,NVL,0.020807058560867207
depmap,0,NXT1,0.02907643035441551
depmap,0,ORC1,0.01816121575652529
depmap,0,ORC6,0.023040181278552393
depmap,0,OXA1L,0.02514756050382899
depmap,0,OXCT1,0.012930816145493669
depmap,0,OXSR1,0.030031937979963962
depmap,0,P4HA2,0.0428853747111862
depmap,0,P4HTM,0.026086937127962683
depmap,0,PACSIN3,0.023387063767040726
depmap,0,PAF1,0.022407670362478992
depmap,0,PAFAH1B1,0.043453544947300894
depmap,0,PAFAH1B3,0.023098079844884167
depmap,0,PAICS,0.02488470148166211
depmap,0,PAK1,0.03181726868015905
depmap,0,PAK4,0.022260729770433925
depmap,0,PAK6,0.021546039444356815
depmap,0,PAN2,0.021940898791929123
depmap,0,PARP1,0.02206847981501619
depmap,0,PARP2,0.02995167836408688
depmap,0,PAX8,0.021849268204112926
depmap,0,PCBD1,0.018562061503090692
depmap,0,PCCB,0.03335822821954116
depmap,0,PCK2,0.025940776631013122
depmap,0,PCM1,0.04001135383301554
depmap,0,PCMT1,0.032625691396306236
depmap,0,PCNA,0.028212427501406137
depmap,0,PDCD2,0.043656051646114157
depmap,0,PDGFA,0.02785766567999948
depmap,0,PDHX,0.025371671957660602
depmap,0,PDIA5,0.04021156238030881
depmap,0,PDLIM1,0.025216400070298524
depmap,0,PDS5A,0.024137874054309415
depmap,0,PECR,0.03400174106236336
depmap,0,PELO,0.026828456264637954
depmap,0,PEX11A,0.04664368910184438
depmap,0,PFKL,0.02815483566522574
depmap,0,PFN1,0.020557025625395235
depmap,0,PGD,0.032765187453525316
depmap,0,PGK1,0.037076658471562364
depmap,0,PGM1,0.03747548130041483
depmap,0,PGR,0.07669125441867183
depmap,0,PHGDH,0.033682912745071715
depmap,0,PHKB,0.029458599730032665
depmap,0,PHKG2,0.02841773204597387
