cellosaurus_id,cell_line_name,DepMap_ID,disease,disease_combined,disease_cleaned,disease_sutype,disease_sub_subtype,culture_type,culture_medium,gender,source,cellosaurus_derived_from_site,cellosaurus_disease,tissue
CVCL_0337,HuT 78,ACH-000509,lymphoma,lymphoma,Lymph,T-cell_lymphoma_other, ,,,Male,ATCC,Peripheral blood,Sezary syndrome,Lymph
CVCL_0346,IMR-32,ACH-000310,peripheral_nervous_system,peripheral_nervous_system,Nervous System,neuroblastoma, ,Adherent,MEM + 10% FBS,Male,ATCC,Abdomen,Neuroblastoma,Nervous System
CVCL_0359,J82,ACH-000396,urinary_tract,urinary_tract,Bladder, , ,,,Male,ATCC,Urinary bladder,Bladder carcinoma,Bladder
CVCL_0364,JHH-5,ACH-000734,liver,liver,Liver, , ,Adherent,William's E Medium + 10% FBS,Male,HSSRB,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0366,SNU-423,ACH-000493,liver,liver,Liver, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0374,KG-1,ACH-000386,leukemia,leukemia,Blood,AML, ,,,Male,ATCC,Bone marrow,Acute myeloid leukemia,Blood
CVCL_0378,KNS-42,ACH-000622,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,MEM + 5% FBS,Male,HSSRB,"Brain, right fronto-parietal lobe.",Glioblastoma,Brain
CVCL_0379,Ku812,ACH-000074,leukemia,leukemia,Blood,CML, ,,RPMI + 10% FBS,Male,ATCC,Peripheral blood,Chronic myeloid leukemia,Blood
CVCL_0392,LN-18,ACH-000819,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,DMEM + 5% FBS,Male,ATCC,"Brain, right temporal lobe",Glioblastoma,Brain
CVCL_0393,LN-229,ACH-000595,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,,,Female,ATCC,"Brain, right frontal parieto-occipital cortex.",Glioblastoma,Brain
CVCL_0400,M059J,ACH-001118,central_nervous_system,central_nervous_system,Brain,glioma, ,,,Male,,Brain,Glioblastoma,Brain
CVCL_0418,MDA-MB-453,ACH-000910,breast,breast,Breast,TNBC, ,Adherent,RPMI + 10% FBS,Female,ATCC,Pericardial effusion,Breast adenocarcinoma,Breast
CVCL_0419,MDA-MB-468,ACH-000849,breast,breast,Breast,TNBC, ,Adherent,DMEM + 10% FBS,Female,ATCC,Pleural effusion,Breast adenocarcinoma,Breast
CVCL_0425,MEG-01,ACH-000072,leukemia,leukemia,Blood,CML, ,,,Male,ATCC,Bone marrow,Chronic myeloid leukemia,Blood
CVCL_0426,MG-63,ACH-000359,bone,bone,Bone,osteosarcoma, ,,,Male,ATCC,"Bone, left femur",Osteosarcoma,Bone
CVCL_0428,MIA PaCa-2,ACH-000601,pancreas,pancreas,Pancreas, , ,Adherent,DMEM + 10% FBS,Male,ATCC,Pancreas,Pancreatic undifferentiated carcinoma,Pancreas
CVCL_0434,MKN45,ACH-000356,gastric,gastric,Stomach,gastric_adenocarcinoma,diffuse_gastric,Adherent,RPMI + 10% FBS,Female,HSRRB,Liver,Gastric adenocarcinoma,Stomach
CVCL_0445,MeWo,ACH-000987,skin,skin,Skin,melanoma, ,,,Male,ATCC,Lymph node,Cutaneous melanoma,Skin
CVCL_0454,SNU-449,ACH-000420,liver,liver,Liver, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0459,NCI-H460,ACH-000463,lung,lung,Lung,lung_NSC,lung_large,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Lung large cell carcinoma,Lung
CVCL_0465,OVCAR-3,,,high grade ovarian serous adenocarcinoma,Ovary,,,,,,,Ascites,High grade ovarian serous adenocarcinoma,Ovary
CVCL_0471,OE33,ACH-000383,esophagus,esophagus,Esophagus,esophagus_adenocarcinoma, ,Adherent,RPMI + 10% FBS,Female,HPACC,Esophagus,Adenocarcinoma of the esophagus,Esophagus
CVCL_0485,PLC/PRF/5,ACH-001318,liver,liver,Liver, , ,Adherent,DMEM + 10% FBS,Male,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0497,SNU-475,ACH-000422,liver,liver,Liver, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Liver,Adult hepatocellular carcinoma,Liver
CVCL_0504,RKO,ACH-000943,colorectal,colorectal,Colon,colorectal_MSI, ,Adherent,MEM + 10% FBS,Unknown,ATCC,Colon,Colon carcinoma,Colon
CVCL_0505,RL95-2,ACH-000965,uterus,uterus,Uterus,uterus_endometrium, ,Adherent,DMEM:F12  (1:1) + 5% FBS + 2mM L-glutamine + 5ug/ml Insulin + 0.01mg/ml Transferrin + 30nM Selenium + 10mM HEPES + 10nM Hydrocortisone + 10nM Beta estradiol,Female,ATCC,Endometrium,Endometrial adenosquamous carcinoma,Uterus
CVCL_0511,Raji,ACH-000654,lymphoma,lymphoma,Lymph,Burkitt_lymphoma, ,,RPMI + 10% FBS,Male,ATCC,"Bone, jaw, maxilla",Burkitt lymphoma,Lymph
CVCL_0525,SK-HEP-1,ACH-000361,liver,liver,Liver, , ,Adherent,MEM + 10% FBS,Male,ATCC,Ascites,Liver and intrahepatic bile duct epithelial neoplasm,Liver
CVCL_0527,SK-MEL-5,ACH-000730,skin,skin,Skin,melanoma, ,,,Female,ATCC,Axillary lymph node,Cutaneous melanoma,Skin
CVCL_0528,SK-N-BE(2),ACH-000312,peripheral_nervous_system,peripheral_nervous_system,Nervous System,neuroblastoma, ,Adherent,MEM:F12 (1:1) + 10% FBS,Male,ATCC,Bone marrow,Neuroblastoma,Nervous System
CVCL_0531,SK-N-SH,ACH-000149,peripheral_nervous_system,peripheral_nervous_system,Nervous System,neuroblastoma, ,,,Female,ATCC,Bone marrow,Neuroblastoma,Nervous System
CVCL_0532,SK-OV-3,ACH-000811,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_serous,Adherent,McCoy's 5A + 10% FBS,Female,ATCC,Ascites,Ovarian serous cystadenocarcinoma,Ovary
CVCL_0539,SU-DHL-4,ACH-000365,lymphoma,lymphoma,Lymph,DLBCL, ,Suspension,RPMI + 20% FBS,Male,DSMZ,Peritoneal effusion,Diffuse large B-cell lymphoma,Lymph
CVCL_0543,SW1353,ACH-000418,bone,bone,Bone,chondrosarcoma, ,,,Female,ATCC,"Bone, right humerus",Chondrosarcoma,Bone
CVCL_0545,SW403,ACH-000820,colorectal,colorectal,Colon, , ,Adherent,L15 + 10% FBS,Female,ATCC,Colon,Colon adenocarcinoma,Colon
CVCL_0546,SW480,ACH-000842,colorectal,colorectal,Colon, , ,,,Male,ATCC,Colon,Colon adenocarcinoma,Colon
CVCL_0547,SW620,ACH-000651,colorectal,colorectal,Colon, , ,Semi-adherent,L15 + 10% FBS,Male,ATCC,Lymph node,Colon adenocarcinoma,Colon
CVCL_0548,SaOS-2,ACH-000410,bone,bone,Bone,osteosarcoma, ,Adherent,McCoy's 5A + 15% FBS,Female,ATCC,Bone,Osteosarcoma,Bone
CVCL_0553,T-47D,ACH-000147,breast,breast,Breast,ERpos, ,,,Female,ATCC,Pleural effusion,Invasive breast carcinoma of no special type,Breast
CVCL_0554,T24,ACH-000018,urinary_tract,urinary_tract,Bladder, , ,Adherent,McCoy's 5A + 10% FBS,Female,ATCC,Urinary bladder,Bladder carcinoma,Bladder
CVCL_0555,T84,ACH-000381,colorectal,colorectal,Colon, , ,Adherent,DMEM:F12(1:1) + 5% FBS + 2mM Glutamine,Male,ATCC,Lung,Colon adenocarcinoma,Colon
CVCL_0556,T98G,ACH-000571,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,MEM + 10% FBS,Male,ATCC,Brain,Glioblastoma,Brain
CVCL_0588,ZR-75-1,ACH-000097,breast,breast,Breast,ERpos, ,Adherent,RPMI + 10% FBS,Female,ATCC,Ascites,Invasive breast carcinoma of no special type,Breast
CVCL_0590,Kasumi-2,ACH-000728,leukemia,leukemia,Blood,B-cell_ALL, ,,,Male,DSMZ,Bone marrow,B-lymphoblastic leukemia/lymphoma with t(1,Blood
CVCL_0599,SK-MEL-24,ACH-000822,skin,skin,Skin,melanoma, ,Adherent,MEM + 10% FBS,Male,ATCC,Lymph node,Melanoma,Skin
CVCL_0600,SK-MEL-31,ACH-000640,skin,skin,Skin,melanoma, ,,,Female,ATCC,,Cutaneous melanoma,Skin
CVCL_0608,Calu-1,ACH-000511,lung,lung,Lung,lung_NSC,lung_squamous,Adherent,McCoy's 5A + 10% FBS,Male,ATCC,Pleural effusion,Lung squamous cell carcinoma,Lung
CVCL_0609,Calu-3,ACH-000392,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_0618,MDA-MB-157,ACH-000621,breast,breast,Breast,TNBC, ,Adherent,RPMI + 10% FBS,Female,ATCC,Pleural effusion,Breast carcinoma,Breast
CVCL_0621,MDA-MB-415,ACH-000876,breast,breast,Breast,ERpos, ,Adherent,L15 + 15% FBS + 2mM Glutamine + 10ug/ml Insulin + 10ug/ml Glutathione,Female,ATCC,Pleural effusion,Breast adenocarcinoma,Breast
CVCL_0622,MDA-MB-435S,ACH-000884,skin,skin,Skin,melanoma, ,Adherent,RPMI + 10% FBS,Female,ATCC,"Right buttock, hypodermis",Amelanotic melanoma,Skin
CVCL_0623,MDA-MB-436,ACH-000573,breast,breast,Breast,TNBC, ,Semi-adherent,RPMI + 10% FBS + 16ug/ml Glutathione,Female,ATCC,Pleural effusion,Invasive breast carcinoma of no special type,Breast
CVCL_0626,SK-CO-1,ACH-000400,colorectal,colorectal,Colon, , ,,,Male,ATCC,Ascites,Colon adenocarcinoma,Colon
CVCL_0627,SK-ES-1,ACH-000087,bone,bone,Bone,Ewing_sarcoma, ,Semi-Adherent,McCoy's 5A + 15% FBS,Male,ATCC,,Ewing sarcoma,Bone
CVCL_0628,SK-LMS-1,ACH-000145,soft_tissue,soft_tissue,Soft Tissue,leiomyosarcoma, ,,,Female,ATCC,Vulva,Leiomyosarcoma,Soft Tissue
CVCL_0629,SK-LU-1,ACH-000309,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_0630,SK-MES-1,ACH-000665,lung,lung,Lung,lung_NSC,lung_squamous,Adherent,DMEM + 10% FBS,Male,ATCC,Pleural effusion,Lung squamous cell carcinoma,Lung
CVCL_0633,U-118MG,ACH-000040,central_nervous_system,central_nervous_system,Brain,glioma,astrocytoma,Adherent,DMEM + 10% FBS,Male,ATCC,Brain,Astrocytoma,Brain
CVCL_0698,Hs 229.T,ACH-000131,fibroblast,fibroblast,Soft Tissue, , ,,,Male,ATCC,Lung,,Soft Tissue
CVCL_0844,Hs 683,ACH-000067,central_nervous_system,central_nervous_system,Brain,glioma,oligodendroglioma,Adherent,DMEM + 10% FBS,Male,ATCC,"Brain, left temporal lobe",Oligodendroglioma,Brain
CVCL_0851,Hs 695T,ACH-000799,skin,skin,Skin,melanoma, ,Adherent,MEM + 10% FBS,Male,ATCC,Lymph node,Amelanotic melanoma,Skin
CVCL_0871,Hs 729.T,,,embryonal rhabdomyosarcoma,Muscle,,,,,,,Muscle,Embryonal rhabdomyosarcoma,Muscle
CVCL_0882,Hs 739.T,ACH-000413,fibroblast,fibroblast,Soft Tissue, , ,,,Female,,Breast,,Soft Tissue
CVCL_0942,Hs 840.T,ACH-000284,fibroblast,fibroblast,Soft Tissue, , ,,,Male,ATCC,Pharynx,,Soft Tissue
CVCL_0950,Hs 852.T,ACH-000274,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Male,ATCC,Skin,Melanoma,Skin
CVCL_0993,Hs 895.T,ACH-000043,fibroblast,fibroblast,Soft Tissue, , ,,,Female,ATCC,Skin,,Soft Tissue
CVCL_1033,Hs 936.T,ACH-000801,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Male,ATCC,Skin,Melanoma,Skin
CVCL_1036,Hs 939.T,ACH-000814,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Female,ATCC,,Melanoma,Skin
CVCL_1040,Hs 944.T,ACH-000632,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Male,ATCC,,Cutaneous melanoma,Skin
CVCL_1045,22Rv1,ACH-000956,prostate,prostate,Prostate, , ,,,Male,ATCC,Prostate,Prostate carcinoma,Prostate
CVCL_1048,639V,ACH-000973,urinary_tract,urinary_tract,Bladder, , ,Adherent,DMEM + 10% FBS,Male,ATCC,Ureter,Upper tract urothelial carcinoma,Bladder
CVCL_1050,769-P,ACH-000411,kidney,kidney,Kidney, , ,Adherent,RPMI + 10% FBS,Female,ATCC,Kidney,Renal cell carcinoma,Kidney
CVCL_1051,786-O,ACH-000649,kidney,kidney,Kidney, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Kidney,Renal cell carcinoma,Kidney
CVCL_1052,8-MG-BA,ACH-000137,central_nervous_system,central_nervous_system,Brain,glioma,astrocytoma,Adherent,MEM + 20% FBS,Female,DSMZ,"Brain, frontal lobe",Glioblastoma,Brain
CVCL_1053,8305C,ACH-001306,thyroid,thyroid,Thyroid, , ,Adherent,RPMI + 15% FBS,Female,DSMZ,Thyroid gland,Anaplastic thyroid carcinoma,Thyroid
CVCL_1054,8505C,ACH-001307,thyroid,thyroid,Thyroid, , ,,,Female,HSRRB,Thyroid gland,Anaplastic thyroid carcinoma,Thyroid
CVCL_1058,A-204,ACH-000201,rhabdoid,rhabdoid,Muscle, , ,,,Female,ATCC,Muscle,Embryonal rhabdomyosarcoma,Muscle
CVCL_1059,A2058,ACH-000788,skin,skin,Skin,melanoma, ,Adherent,DMEM + 10% FBS,Male,ATCC,Lymph node,Amelanotic melanoma,Skin
CVCL_1060,A-253,ACH-000740,upper_aerodigestive,upper_aerodigestive,Head And Neck,upper_aerodigestive_squamous, ,Adherent,McCoy's 5A + 10% FBS,Male,ATCC,"Salivary gland, submandibular gland",Squamous cell carcinoma of salivary glands,Head And Neck
CVCL_1067,ACHN,ACH-000046,kidney,kidney,Kidney, , ,,,Male,ATCC,Pleural effusion,Papillary renal cell carcinoma,Kidney
CVCL_1074,AU565,ACH-000248,breast,breast,Breast,HER2Amp, ,Adherent,DMEM + 10% FBS,Female,ATCC,Pleural effusion,Breast adenocarcinoma,Breast
CVCL_1084,BFTC-909,ACH-000792,kidney,kidney,Kidney, , ,Adherent,DMEM + 10% FBS,Male,DSMZ,"Kidney, renal pelvis",Upper tract urothelial carcinoma,Kidney
CVCL_1087,BL-41,ACH-000245,lymphoma,lymphoma,Lymph,Burkitt_lymphoma, ,,,Male,DSMZ,,Burkitt lymphoma,Lymph
CVCL_1088,BL-70,ACH-000402,lymphoma,lymphoma,Lymph,Burkitt_lymphoma, ,Suspension,RPMI + 10% FBS + 1mM Sodium pyruvate + 50uM 2-Mercaptoethanol,Male,DSMZ,,Burkitt lymphoma,Lymph
CVCL_1092,BT-549,ACH-000288,breast,breast,Breast,TNBC, ,Adherent,RPMI + 10% heat inactivated FBS,Female,ATCC,Breast,Invasive breast carcinoma of no special type,Breast
CVCL_1096,C2BBe1,ACH-000009,colorectal,colorectal,Colon, , ,Adherent,DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium,Male,ATCC,Colon,Colon adenocarcinoma,Colon
CVCL_1098,Hep-G2/C3A,,,hepatoblastoma,Liver,,,,,,,Liver,Hepatoblastoma,Liver
CVCL_1105,CAL-12T,ACH-000826,lung,lung,Lung,lung_NSC, ,Adherent,DMEM + 10% FBS,Male,DSMZ,Lung,Lung non-small cell carcinoma,Lung
CVCL_1107,CAL-27,ACH-000832,upper_aerodigestive,upper_aerodigestive,Head And Neck,upper_aerodigestive_squamous, ,,DMEM + 10% FBS,Male,ATCC,"Oral cavity, tongue",Tongue adenosquamous carcinoma,Head And Neck
CVCL_1114,CAL-85-1,ACH-000857,breast,breast,Breast,TNBC, ,,,Female,DSMZ,Breast,Breast carcinoma,Breast
CVCL_1115,CAMA-1,ACH-000783,breast,breast,Breast,ERpos, ,Adherent,MEM + 10% FBS,Female,ATCC,Pleural effusion,Breast adenocarcinoma,Breast
CVCL_1117,CAS-1,ACH-000464,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,DMEM + 10% FBS,Male,ICLC,Brain,Glioblastoma,Brain
CVCL_1122,CHL-1,ACH-001024,skin,skin,Skin,melanoma, ,,,Female,ATCC,Pleural effusion,Melanoma,Skin
CVCL_1125,CHP-212,ACH-000120,peripheral_nervous_system,peripheral_nervous_system,Nervous System,neuroblastoma, ,Adherent,MEM:F12 (1:1) + 10% FBS,Male,ATCC,Brain,Neuroblastoma,Nervous System
CVCL_1129,COLO 678,ACH-000350,colorectal,colorectal,Colon, , ,Adherent,RPMI + 10% FBS,Male,DSMZ,Lymph node,Colon carcinoma,Colon
CVCL_1130,COLO 679,ACH-000805,skin,skin,Skin,melanoma, ,Adherent,RPMI + 10% FBS,Female,DSMZ,Soft tissue,Cutaneous melanoma,Skin
CVCL_1133,COLO 741,ACH-000582,skin,skin,Skin,melanoma, ,,,Female,ECACC,Pelvic wall,Melanoma,Skin
CVCL_1138,COR-L105,ACH-000161,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ECACC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_1139,COR-L23,ACH-000662,lung,lung,Lung,lung_NSC,lung_large,Adherent,RPMI + 10% FBS + 2mM Glutamine,Male,ECAAC,Pleural effusion,Lung large cell carcinoma,Lung
