gene,landmark,target,pam50,source
YARS2,0,1,0,target
YKT6,1,0,0,landmark
YME1L1,1,0,0,landmark
YPEL5,0,1,0,target
YRDC,0,1,0,target
YTHDF1,1,0,0,landmark
ZDHHC6,1,0,0,landmark
ZFP36,1,0,0,landmark
ZMIZ1,1,0,0,landmark
ZMYM2,1,0,0,landmark
ZNF131,1,0,0,landmark
ZNF274,1,0,0,landmark
ZNF318,1,0,0,landmark
ZNF395,1,0,0,landmark
ZNF451,1,0,0,landmark
ZNF586,1,0,0,landmark
ZNF589,1,0,0,landmark
