gene,landmark,target,pam50,source
PSMA5,0,1,0,target
PSMA6,0,1,0,target
PSMA7,0,1,0,target
PSMB1,0,1,0,target
PSMB2,0,1,0,target
PSMB3,0,1,0,target
PSMB4,0,1,0,target
PSMB5,0,1,0,target
PSMB6,0,1,0,target
PSMB7,0,1,0,target
PSMB8,1,0,0,landmark
PSMD1,0,1,0,target
PSMD2,0,1,0,target
PSMD4,1,0,0,landmark
PSME1,1,0,0,landmark
PSMF1,1,0,0,landmark
PSMG1,1,0,0,landmark
PSRC1,1,0,0,landmark
PTGS2,1,1,0,"landmark,target"
PTK2,1,1,0,"landmark,target"
PTK2B,1,0,0,landmark
PTP4A3,0,1,0,target
PTPN1,1,0,0,landmark
PTPN12,1,0,0,landmark
PTPN6,1,0,0,landmark
PTPRC,1,0,0,landmark
PTPRF,1,0,0,landmark
PTPRK,1,0,0,landmark
PTTG1,0,0,1,pam50
PUF60,1,0,0,landmark
PWP1,1,0,0,landmark
PXN,1,0,0,landmark
PYCR1,1,0,0,landmark
PYGL,1,0,0,landmark
RAB11FIP2,1,0,0,landmark
RAB21,1,0,0,landmark
RAB27A,1,0,0,landmark
RAB31,1,0,0,landmark
RAB4A,1,0,0,landmark
RAC1,0,1,0,target
RAD51C,1,0,0,landmark
RAD9A,1,0,0,landmark
RAE1,1,0,0,landmark
RAF1,0,1,0,target
RAI14,1,0,0,landmark
RALA,1,0,0,landmark
RALB,1,0,0,landmark
RALGDS,1,0,0,landmark
RAP1GAP,1,0,0,landmark
RARA,0,1,0,target
RARB,0,1,0,target
RARG,0,1,0,target
RASA1,1,0,0,landmark
RASAL1,0,1,0,target
RB1,1,0,0,landmark
RBKS,1,0,0,landmark
RBM15B,1,0,0,landmark
RBM6,1,0,0,landmark
REEP5,1,0,0,landmark
RELB,1,0,0,landmark
RET,0,1,0,target
RFC2,1,0,0,landmark
RFC5,1,0,0,landmark
RFNG,1,0,0,landmark
RFX5,1,0,0,landmark
RGS2,1,0,0,landmark
RHEB,1,0,0,landmark
RHOA,1,1,0,"landmark,target"
RIPK1,0,1,0,target
RNF167,1,0,0,landmark
RNH1,1,0,0,landmark
RNMT,1,0,0,landmark
RNPS1,1,0,0,landmark
RORA,0,1,0,target
RORC,0,1,0,target
RPA1,1,0,0,landmark
RPA2,1,0,0,landmark
RPA3,1,0,0,landmark
RPIA,1,0,0,landmark
RPL39L,1,0,0,landmark
RPN1,1,0,0,landmark
RPS5,1,0,0,landmark
RPS6,1,0,0,landmark
RPS6KA1,1,0,0,landmark
RPS6KB2,0,1,0,target
RRAGA,1,0,0,landmark
RRM1,0,1,0,target
RRM2,0,0,1,pam50
RRP12,1,0,0,landmark
RRP1B,1,0,0,landmark
RRP8,1,0,0,landmark
RRS1,1,0,0,landmark
RSU1,1,0,0,landmark
RTN2,1,0,0,landmark
RUVBL1,1,0,0,landmark
RXRA,0,1,0,target
RXRB,0,1,0,target
RXRG,0,1,0,target
S100A13,1,0,0,landmark
S100A4,1,0,0,landmark
S1PR1,0,1,0,target
S1PR2,0,1,0,target
S1PR3,0,1,0,target
SACM1L,1,0,0,landmark
SCAND1,1,0,0,landmark
SCARB1,1,1,0,"landmark,target"
SCCPDH,1,0,0,landmark
SCP2,1,0,0,landmark
SCRN1,1,0,0,landmark
SCYL3,1,0,0,landmark
SDHB,1,0,0,landmark
SENP6,1,0,0,landmark
SERPINE1,1,0,0,landmark
SESN1,1,0,0,landmark
SFN,1,0,0,landmark
SFRP1,0,0,1,pam50
SGCB,1,0,0,landmark
SH3BP5,1,0,0,landmark
SHC1,1,0,0,landmark
SIRT1,0,1,0,target
SIRT2,0,1,0,target
SIRT3,1,0,0,landmark
SKIC2,1,0,0,landmark
SKIC8,1,0,0,landmark
SKP1,1,1,0,"landmark,target"
SLC11A2,1,0,0,landmark
SLC1A4,1,0,0,landmark
SLC25A13,1,0,0,landmark
SLC25A4,1,0,0,landmark
SLC25A46,1,0,0,landmark
SLC27A3,1,0,0,landmark
SLC2A6,1,0,0,landmark
SLC35A1,1,0,0,landmark
SLC35A3,1,0,0,landmark
SLC35B1,1,0,0,landmark
SLC35F2,1,0,0,landmark
SLC37A4,1,0,0,landmark
SLC39A6,0,0,1,pam50
SLC5A1,0,1,0,target
SLC5A6,1,0,0,landmark
SLC7A11,0,1,0,target
SMAD3,1,0,0,landmark
SMARCA4,1,0,0,landmark
SMARCC1,1,0,0,landmark
SMARCD2,1,0,0,landmark
SMC3,1,0,0,landmark
SMC4,1,0,0,landmark
SMNDC1,1,0,0,landmark
SMO,0,1,0,target
SNAP25,1,0,0,landmark
SNCA,1,0,0,landmark
SNX11,1,0,0,landmark
SNX13,1,0,0,landmark
SNX6,1,0,0,landmark
SNX7,1,0,0,landmark
SOCS2,1,0,0,landmark
SORBS3,1,0,0,landmark
SOX4,1,0,0,landmark
SPAG4,1,0,0,landmark
SPAG7,1,0,0,landmark
SPDEF,1,0,0,landmark
SPEN,1,0,0,landmark
SPHK1,0,1,0,target
SPP1,1,0,0,landmark
SPR,1,0,0,landmark
SPRED2,1,0,0,landmark
SPTAN1,1,0,0,landmark
SPTLC2,1,1,0,"landmark,target"
SQSTM1,1,0,0,landmark
SRC,1,1,0,"landmark,target"
SRD5A2,0,1,0,target
SSBP2,1,0,0,landmark
ST3GAL5,1,0,0,landmark
ST6GALNAC2,1,0,0,landmark
ST7,1,0,0,landmark
STAMBP,1,0,0,landmark
STAP2,1,0,0,landmark
STAT1,1,0,0,landmark
STAT3,1,1,0,"landmark,target"
STAT5B,1,0,0,landmark
STK10,1,0,0,landmark
STK25,1,0,0,landmark
STMN1,1,0,0,landmark
STX1A,1,0,0,landmark
STX4,1,0,0,landmark
STXBP1,1,0,0,landmark
STXBP2,1,0,0,landmark
SUPV3L1,1,0,0,landmark
SUZ12,1,0,0,landmark
SYK,1,1,0,"landmark,target"
SYNE2,1,0,0,landmark
SYNGR3,1,0,0,landmark
SYPL1,1,0,0,landmark
TACC3,0,1,0,target
TARBP1,1,0,0,landmark
TASP1,0,1,0,target
TATDN2,1,0,0,landmark
TBC1D9B,1,0,0,landmark
TBP,1,0,0,landmark
TBPL1,1,0,0,landmark
TBX2,1,0,0,landmark
TBXA2R,1,0,0,landmark
TCEA2,1,0,0,landmark
TCERG1,1,0,0,landmark
TCFL5,1,0,0,landmark
TCTN1,1,0,0,landmark
TENT4A,1,0,0,landmark
TERF2IP,1,0,0,landmark
TERT,1,1,0,"landmark,target"
TES,1,0,0,landmark
TESK1,1,0,0,landmark
TEX10,1,0,0,landmark
TFAP2A,1,0,0,landmark
TFDP1,1,0,0,landmark
TGFB3,1,0,0,landmark
TGFBR1,0,1,0,target
TGFBR2,1,0,0,landmark
THAP11,1,0,0,landmark
TIAM1,1,1,0,"landmark,target"
TICAM1,1,0,0,landmark
TIMELESS,1,0,0,landmark
TIMM22,1,0,0,landmark
TIMM9,1,0,0,landmark
TIMP2,1,0,0,landmark
TIPARP,1,0,0,landmark
TJP1,1,0,0,landmark
TLCD3A,1,0,0,landmark
TLE1,1,0,0,landmark
TLK2,1,0,0,landmark
TLR4,1,0,0,landmark
TM9SF2,1,0,0,landmark
TM9SF3,1,0,0,landmark
TMCO1,1,0,0,landmark
TMED10,1,0,0,landmark
TMEM109,1,0,0,landmark
TMEM45B,0,0,1,pam50
TMEM50A,1,0,0,landmark
TMEM97,1,0,0,landmark
TNFRSF21,1,0,0,landmark
TNIP1,1,0,0,landmark
TOMM34,1,0,0,landmark
TOP1,0,1,0,target
TOP2A,1,1,0,"landmark,target"
TOP2B,0,1,0,target
TOPBP1,1,0,0,landmark
TOR1A,1,0,0,landmark
TP53,1,1,0,"landmark,target"
TP53BP1,1,0,0,landmark
TP53BP2,1,0,0,landmark
TPD52L2,1,0,0,landmark
TPM1,1,0,0,landmark
TRAK2,1,0,0,landmark
TRAM2,1,0,0,landmark
TRAP1,1,1,0,"landmark,target"
TRAPPC3,1,0,0,landmark
TRAPPC6A,1,0,0,landmark
TRIB1,1,0,0,landmark
TRIB3,1,0,0,landmark
TRIM13,1,0,0,landmark
TRIM2,1,0,0,landmark
TRIO,0,1,0,target
TRPC6,0,1,0,target
TRPV4,0,1,0,target
TSEN2,1,0,0,landmark
TSKU,1,0,0,landmark
TSPAN3,1,0,0,landmark
TSPAN4,1,0,0,landmark
TTK,0,1,0,target
TUBB6,1,0,0,landmark
TXLNA,1,0,0,landmark
TXN,0,1,0,target
TXNDC9,1,0,0,landmark
TXNL4B,1,0,0,landmark
TXNRD1,1,0,0,landmark
TYMS,0,1,1,"target,pam50"
UBA1,0,1,0,target
UBE2C,1,0,1,"landmark,pam50"
UBE2J1,1,0,0,landmark
UBE2L6,1,0,0,landmark
UBE2T,0,0,1,pam50
UBE3B,1,0,0,landmark
UBE3C,1,0,0,landmark
UBR7,1,0,0,landmark
UFM1,1,0,0,landmark
UGCG,0,1,0,target
UGDH,1,0,0,landmark
USP1,1,0,0,landmark
USP10,0,1,0,target
USP13,0,1,0,target
USP14,1,1,0,"landmark,target"
USP22,1,0,0,landmark
USP5,0,1,0,target
USP6NL,1,0,0,landmark
USP7,1,1,0,"landmark,target"
VAPB,1,0,0,landmark
VAT1,1,0,0,landmark
VAV3,1,0,0,landmark
VCP,0,1,0,target
VDAC1,0,1,0,target
VDAC2,0,1,0,target
VDR,0,1,0,target
VGLL4,1,0,0,landmark
VPS28,1,0,0,landmark
VPS72,1,0,0,landmark
WASF3,1,0,0,landmark
WDR7,1,0,0,landmark
WDTC1,1,0,0,landmark
WEE1,0,1,0,target
WFS1,1,0,0,landmark
WIPF2,1,0,0,landmark
XBP1,1,0,0,landmark
XIAP,0,1,0,target
XPNPEP1,1,0,0,landmark
XPO1,0,1,0,target
XPO7,1,0,0,landmark
YES1,0,1,0,target
YKT6,1,0,0,landmark
YME1L1,1,0,0,landmark
YTHDF1,1,0,0,landmark
ZDHHC6,1,0,0,landmark
ZFP36,1,0,0,landmark
ZMIZ1,1,0,0,landmark
ZMYM2,1,0,0,landmark
ZNF131,1,0,0,landmark
ZNF274,1,0,0,landmark
ZNF318,1,0,0,landmark
ZNF395,1,0,0,landmark
ZNF451,1,0,0,landmark
ZNF586,1,0,0,landmark
ZNF589,1,0,0,landmark
