n_cells,method,gene_class,n_seeds,n_genes_per_seed,median_rank,mean_rank,median_d_rank,mean_d_rank,retention@10,retention@25,retention@50,retention@100
5000,residualized,causal,8,200.0,212.0,217.429375,-9.0,-18.579375,0.03125,0.075,0.133125,0.25375
5000,residualized,confounder,8,50.0,475.5,455.61,179.0,171.5175,0.0,0.0,0.0,0.0
5000,residualized,mixed,8,100.0,221.5,224.85625,-9.5,-13.57125,0.0275,0.06375,0.1275,0.23125
5000,within_tissue,causal,8,200.0,218.0,216.78,-13.0,-19.22875,0.03125,0.0775,0.136875,0.253125
5000,within_tissue,confounder,8,50.0,475.0,468.2775,182.0,184.185,0.0,0.0,0.0,0.0
5000,within_tissue,mixed,8,100.0,209.0,216.71125,-15.0,-21.71625,0.03125,0.06625,0.14375,0.2575
10000,irm,causal,8,200.0,232.5,234.821875,5.0,-0.868125,0.03,0.065,0.128125,0.24625
10000,irm,confounder,8,50.0,334.5,315.18,24.0,28.6425,0.0025,0.0175,0.0325,0.0975
10000,irm,mixed,8,100.0,211.0,223.37875,-3.0,-9.71,0.03125,0.0825,0.14375,0.25625
10000,marginal,causal,8,200.0,231.0,235.69,0.0,0.0,0.03125,0.073125,0.134375,0.246875
10000,marginal,confounder,8,50.0,277.0,286.5375,0.0,0.0,0.0025,0.01,0.0275,0.0875
10000,marginal,mixed,8,100.0,231.5,233.08875,0.0,0.0,0.03375,0.08125,0.15375,0.26375
10000,residualized,causal,8,200.0,214.5,219.899375,-5.5,-15.790625,0.03125,0.074375,0.135,0.251875
10000,residualized,confounder,8,50.0,475.5,446.16,162.0,159.6225,0.0,0.0,0.0,0.0
10000,residualized,mixed,8,100.0,200.5,213.23,-8.0,-19.85875,0.03625,0.08375,0.16,0.28
10000,within_tissue,causal,8,200.0,213.5,218.46625,-10.0,-17.22375,0.033125,0.074375,0.134375,0.250625
10000,within_tissue,confounder,8,50.0,475.5,468.75,192.5,182.2125,0.0,0.0,0.0,0.0
10000,within_tissue,mixed,8,100.0,210.5,213.6225,-13.5,-19.46625,0.03125,0.08,0.15875,0.275
20000,irm,causal,8,200.0,215.0,224.34875,0.0,2.18375,0.03,0.081875,0.159375,0.274375
20000,irm,confounder,8,50.0,319.5,312.72,23.5,30.455,0.0,0.0,0.0125,0.07
20000,irm,mixed,8,100.0,218.5,229.665,0.0,-1.08125,0.04,0.08375,0.1475,0.26
20000,marginal,causal,8,200.0,209.5,222.165,0.0,0.0,0.030625,0.081875,0.1575,0.2825
20000,marginal,confounder,8,50.0,270.5,282.265,0.0,0.0,0.0,0.0,0.0125,0.0875
20000,marginal,mixed,8,100.0,227.0,230.74625,0.0,0.0,0.03875,0.08625,0.165,0.28
20000,residualized,causal,8,200.0,193.0,208.66875,-5.0,-13.49625,0.031875,0.08125,0.15625,0.293125
20000,residualized,confounder,8,50.0,475.0,433.025,160.0,150.76,0.0,0.0,0.0,0.0
20000,residualized,mixed,8,100.0,205.5,216.24,-2.0,-14.50625,0.03625,0.085,0.15625,0.2725
20000,within_tissue,causal,8,200.0,193.5,204.103125,-11.0,-18.061875,0.03125,0.08375,0.15875,0.289375
20000,within_tissue,confounder,8,50.0,475.5,464.2575,192.5,181.9925,0.0,0.0,0.0,0.0
20000,within_tissue,mixed,8,100.0,209.5,213.16375,-10.0,-17.5825,0.0375,0.0825,0.16875,0.2975
40000,irm,causal,8,200.0,219.0,223.309375,1.0,3.795625,0.031875,0.081875,0.155,0.288125
40000,irm,confounder,8,50.0,294.0,298.9975,31.5,33.3,0.0,0.0,0.01,0.055
40000,irm,mixed,8,100.0,199.0,220.93625,0.0,-2.03375,0.03625,0.08625,0.17375,0.29125
40000,marginal,causal,8,200.0,205.5,219.51375,0.0,0.0,0.03,0.0775,0.15375,0.285
40000,marginal,confounder,8,50.0,240.5,265.6975,0.0,0.0,0.0,0.0,0.0175,0.1675
40000,marginal,mixed,8,100.0,213.0,222.97,0.0,0.0,0.04,0.095,0.18125,0.2975
40000,residualized,causal,8,200.0,192.0,205.61625,-6.0,-13.8975,0.0325,0.079375,0.16125,0.2975
40000,residualized,confounder,8,50.0,475.0,437.8925,177.5,172.195,0.0,0.0,0.0,0.0
40000,residualized,mixed,8,100.0,196.5,210.04375,-2.0,-12.92625,0.035,0.09125,0.17,0.30125
40000,within_tissue,causal,8,200.0,186.5,200.98,-10.0,-18.53375,0.031875,0.0775,0.1575,0.31125
40000,within_tissue,confounder,8,50.0,475.0,460.72,208.0,195.0225,0.0,0.0,0.0,0.0
40000,within_tissue,mixed,8,100.0,191.0,203.6225,-11.0,-19.3475,0.03625,0.095,0.18125,0.31375
80000,irm,causal,8,200.0,202.5,220.02375,1.0,2.415,0.031875,0.07875,0.164375,0.295
80000,irm,confounder,8,50.0,310.5,301.8425,72.0,81.0325,0.0,0.0,0.0075,0.085
80000,irm,mixed,8,100.0,206.5,219.49375,0.0,0.51875,0.035,0.08625,0.1475,0.27
80000,marginal,causal,8,200.0,197.0,217.60875,0.0,0.0,0.0325,0.081875,0.165625,0.28125
80000,marginal,confounder,8,50.0,187.5,220.81,0.0,0.0,0.0,0.005,0.0275,0.2475
80000,marginal,mixed,8,100.0,204.0,218.975,0.0,0.0,0.035,0.08375,0.155,0.29125
80000,residualized,causal,8,200.0,189.5,203.05375,-5.0,-14.555,0.033125,0.084375,0.169375,0.30625
80000,residualized,confounder,8,50.0,475.0,432.13,225.0,211.32,0.0,0.0,0.0,0.0
80000,residualized,mixed,8,100.0,182.0,200.125,-6.0,-18.85,0.03375,0.08125,0.15875,0.3
80000,within_tissue,causal,8,200.0,176.0,195.946875,-14.0,-21.661875,0.033125,0.08375,0.169375,0.315
80000,within_tissue,confounder,8,50.0,475.0,455.8925,255.0,235.0825,0.0,0.0,0.0,0.0
80000,within_tissue,mixed,8,100.0,173.5,194.7675,-16.5,-24.2075,0.03375,0.0825,0.16125,0.33125
