seed,n_cells,method,within_r,pearson_r,eta_y,contam50,conf_median_rank
2,20000,residualized,,,0.1765,0.0,475.5
2,20000,irm,,,0.1765,0.0,350.5
2,40000,marginal,0.2106,0.4247,0.1631,0.02,308.5
2,40000,within_tissue,,,0.1631,0.0,475.5
2,40000,residualized,,,0.1631,0.0,475.5
2,40000,irm,,,0.1631,0.02,334.5
2,80000,marginal,0.2567,0.5545,0.2517,0.0,176.5
2,80000,within_tissue,,,0.2517,0.0,475.5
2,80000,residualized,,,0.2517,0.0,474.5
2,80000,irm,,,0.2517,0.0,411.5
3,500,marginal,0.21,0.5014,0.3338,0.22,150.5
3,500,within_tissue,,,0.3338,0.0,475.5
3,500,residualized,,,0.3338,0.0,475.5
3,500,irm,,,0.3338,0.3,169.5
3,1000,marginal,0.119,0.44,0.2247,0.14,225.5
3,1000,within_tissue,,,0.2247,0.0,475.5
3,1000,residualized,,,0.2247,0.0,475.5
3,1000,irm,,,0.2247,0.12,285.5
3,2000,marginal,0.141,0.5168,0.2808,0.0,282.5
3,2000,within_tissue,,,0.2808,0.0,475.5
3,2000,residualized,,,0.2808,0.0,475.5
3,2000,irm,,,0.2808,0.08,293.5
3,5000,marginal,0.0792,0.5089,0.2619,0.04,246.5
3,5000,within_tissue,,,0.2619,0.0,475.5
3,5000,residualized,,,0.2619,0.0,475.5
3,5000,irm,,,0.2619,0.08,343.0
3,10000,marginal,0.1581,0.4177,0.1471,0.0,275.0
3,10000,within_tissue,,,0.1471,0.0,475.5
3,10000,residualized,,,0.1471,0.0,475.5
3,10000,irm,,,0.1471,0.0,356.5
3,20000,marginal,0.2211,0.4794,0.2003,0.02,314.5
3,20000,within_tissue,,,0.2003,0.0,475.5
3,20000,residualized,,,0.2003,0.0,475.5
3,20000,irm,,,0.2003,0.0,314.0
3,40000,marginal,0.2354,0.4969,0.2025,0.02,211.0
3,40000,within_tissue,,,0.2025,0.0,475.5
3,40000,residualized,,,0.2025,0.0,475.5
3,40000,irm,,,0.2025,0.04,256.5
3,80000,marginal,0.2412,0.4861,0.1822,0.0,214.5
3,80000,within_tissue,,,0.1822,0.0,474.0
3,80000,residualized,,,0.1822,0.0,475.5
3,80000,irm,,,0.1822,0.0,208.0
4,500,marginal,0.0127,0.3073,0.2073,0.22,190.5
4,500,within_tissue,,,0.2073,0.0,475.5
4,500,residualized,,,0.2073,0.0,475.5
4,500,irm,,,0.2073,0.04,234.0
4,1000,marginal,-0.0261,0.3974,0.2086,0.24,161.5
4,1000,within_tissue,,,0.2086,0.0,475.5
4,1000,residualized,,,0.2086,0.0,475.5
4,1000,irm,,,0.2086,0.06,335.5
4,2000,marginal,0.1037,0.3659,0.1453,0.08,259.5
4,2000,within_tissue,,,0.1453,0.0,475.5
4,2000,residualized,,,0.1453,0.0,475.5
4,2000,irm,,,0.1453,0.04,245.5
4,5000,marginal,0.1447,0.5435,0.2638,0.02,339.0
4,5000,within_tissue,,,0.2638,0.0,475.5
4,5000,residualized,,,0.2638,0.0,475.5
4,5000,irm,,,0.2638,0.16,211.0
4,10000,marginal,0.1634,0.5106,0.2178,0.0,271.5
4,10000,within_tissue,,,0.2178,0.0,475.5
4,10000,residualized,,,0.2178,0.0,474.0
4,10000,irm,,,0.2178,0.04,338.0
4,20000,marginal,0.2229,0.4351,0.1539,0.02,317.0
4,20000,within_tissue,,,0.1539,0.0,475.5
4,20000,residualized,,,0.1539,0.0,473.0
4,20000,irm,,,0.1539,0.0,330.0
4,40000,marginal,0.1993,0.4549,0.1605,0.0,303.0
4,40000,within_tissue,,,0.1605,0.0,475.5
4,40000,residualized,,,0.1605,0.0,475.5
4,40000,irm,,,0.1605,0.0,347.5
4,80000,marginal,0.2258,0.569,0.2987,0.02,200.5
4,80000,within_tissue,,,0.2987,0.0,475.5
4,80000,residualized,,,0.2987,0.0,475.5
4,80000,irm,,,0.2987,0.0,314.5
5,500,marginal,0.1338,0.5009,0.238,0.08,234.5
5,500,within_tissue,,,0.238,0.0,475.5
5,500,residualized,,,0.238,0.0,475.5
5,500,irm,,,0.238,0.02,290.0
5,1000,marginal,-0.0203,0.3623,0.1174,0.16,233.0
5,1000,within_tissue,,,0.1174,0.0,475.5
5,1000,residualized,,,0.1174,0.0,475.5
5,1000,irm,,,0.1174,0.06,264.0
5,2000,marginal,0.1469,0.4774,0.1567,0.0,321.5
5,2000,within_tissue,,,0.1567,0.0,475.5
5,2000,residualized,,,0.1567,0.0,475.5
5,2000,irm,,,0.1567,0.02,330.5
5,5000,marginal,0.0965,0.4433,0.1555,0.06,208.0
5,5000,within_tissue,,,0.1555,0.0,475.5
5,5000,residualized,,,0.1555,0.0,475.5
5,5000,irm,,,0.1555,0.02,352.0
5,10000,marginal,0.2157,0.4285,0.1515,0.0,313.5
5,10000,within_tissue,,,0.1515,0.0,475.5
5,10000,residualized,,,0.1515,0.0,475.5
5,10000,irm,,,0.1515,0.02,385.0
5,20000,marginal,0.2645,0.5211,0.2108,0.0,208.0
5,20000,within_tissue,,,0.2108,0.0,475.5
5,20000,residualized,,,0.2108,0.0,475.5
5,20000,irm,,,0.2108,0.04,193.0
5,40000,marginal,0.2782,0.4187,0.113,0.02,306.5
5,40000,within_tissue,,,0.113,0.0,475.5
5,40000,residualized,,,0.113,0.0,459.0
5,40000,irm,,,0.113,0.0,356.0
5,80000,marginal,0.2343,0.5172,0.2363,0.04,209.5
5,80000,within_tissue,,,0.2363,0.0,474.5
5,80000,residualized,,,0.2363,0.0,475.5
5,80000,irm,,,0.2363,0.02,352.5
6,500,marginal,-0.1109,0.1396,0.1171,0.08,275.5
6,500,within_tissue,,,0.1171,0.0,475.5
6,500,residualized,,,0.1171,0.0,475.5
6,500,irm,,,0.1171,0.1,309.5
6,1000,marginal,0.0803,0.4512,0.2395,0.12,192.0
6,1000,within_tissue,,,0.2395,0.0,475.5
6,1000,residualized,,,0.2395,0.0,475.5
6,1000,irm,,,0.2395,0.0,248.5
6,2000,marginal,0.0809,0.464,0.182,0.2,197.5
6,2000,within_tissue,,,0.182,0.0,475.5
6,2000,residualized,,,0.182,0.0,475.5
6,2000,irm,,,0.182,0.08,272.5
6,5000,marginal,0.1805,0.4223,0.1522,0.0,332.5
6,5000,within_tissue,,,0.1522,0.0,475.5
6,5000,residualized,,,0.1522,0.0,475.5
6,5000,irm,,,0.1522,0.04,361.0
6,10000,marginal,0.1532,0.4693,0.2402,0.02,282.5
6,10000,within_tissue,,,0.2402,0.0,475.5
6,10000,residualized,,,0.2402,0.0,475.5
6,10000,irm,,,0.2402,0.06,358.0
6,20000,marginal,0.229,0.5474,0.239,0.0,245.0
6,20000,within_tissue,,,0.239,0.0,475.5
6,20000,residualized,,,0.239,0.0,475.5
6,20000,irm,,,0.239,0.0,382.5
6,40000,marginal,0.2117,0.4563,0.1785,0.0,224.5
6,40000,within_tissue,,,0.1785,0.0,475.5
6,40000,residualized,,,0.1785,0.0,475.5
6,40000,irm,,,0.1785,0.02,210.5
6,80000,marginal,0.237,0.4927,0.2126,0.06,153.5
6,80000,within_tissue,,,0.2126,0.0,473.5
6,80000,residualized,,,0.2126,0.0,475.5
6,80000,irm,,,0.2126,0.0,327.5
7,500,marginal,-0.1567,0.3546,0.2177,0.2,174.5
7,500,within_tissue,,,0.2177,0.0,475.5
7,500,residualized,,,0.2177,0.0,475.5
7,500,irm,,,0.2177,0.2,166.5
7,1000,marginal,0.0041,0.4302,0.2343,0.1,223.0
7,1000,within_tissue,,,0.2343,0.0,475.5
7,1000,residualized,,,0.2343,0.0,475.5
7,1000,irm,,,0.2343,0.08,266.5
7,2000,marginal,-0.0291,0.4898,0.2558,0.24,175.0
7,2000,within_tissue,,,0.2558,0.0,475.5
7,2000,residualized,,,0.2558,0.0,475.5
7,2000,irm,,,0.2558,0.06,287.0
7,5000,marginal,0.1222,0.4352,0.1573,0.0,301.5
7,5000,within_tissue,,,0.1573,0.0,475.5
7,5000,residualized,,,0.1573,0.0,475.5
7,5000,irm,,,0.1573,0.02,311.0
7,10000,marginal,0.1393,0.4886,0.2341,0.02,282.0
7,10000,within_tissue,,,0.2341,0.0,475.5
7,10000,residualized,,,0.2341,0.0,475.5
7,10000,irm,,,0.2341,0.0,283.5
7,20000,marginal,0.246,0.4448,0.1531,0.0,286.5
7,20000,within_tissue,,,0.1531,0.0,475.5
7,20000,residualized,,,0.1531,0.0,475.5
7,20000,irm,,,0.1531,0.02,306.5
7,40000,marginal,0.2375,0.4699,0.1751,0.04,195.0
7,40000,within_tissue,,,0.1751,0.0,475.5
7,40000,residualized,,,0.1751,0.0,475.5
7,40000,irm,,,0.1751,0.0,234.5
7,80000,marginal,0.218,0.5299,0.2501,0.04,185.0
7,80000,within_tissue,,,0.2501,0.0,475.5
7,80000,residualized,,,0.2501,0.0,475.5
7,80000,irm,,,0.2501,0.04,236.0
8,500,marginal,0.005,0.3426,0.1994,0.22,205.0
8,500,within_tissue,,,0.1994,0.0,475.5
8,500,residualized,,,0.1994,0.0,475.5
8,500,irm,,,0.1994,0.2,232.5
8,1000,marginal,0.0059,0.5377,0.3288,0.12,246.5
8,1000,within_tissue,,,0.3288,0.0,475.5
8,1000,residualized,,,0.3288,0.0,475.5
8,1000,irm,,,0.3288,0.18,208.0
8,2000,marginal,0.0724,0.3299,0.105,0.04,300.0
8,2000,within_tissue,,,0.105,0.0,475.5
8,2000,residualized,,,0.105,0.0,475.5
8,2000,irm,,,0.105,0.06,271.5
8,5000,marginal,0.1515,0.4494,0.2202,0.0,292.5
8,5000,within_tissue,,,0.2202,0.0,475.0
8,5000,residualized,,,0.2202,0.0,475.5
8,5000,irm,,,0.2202,0.06,342.0
8,10000,marginal,0.0401,0.4372,0.2257,0.16,234.5
8,10000,within_tissue,,,0.2257,0.0,475.5
8,10000,residualized,,,0.2257,0.0,475.5
8,10000,irm,,,0.2257,0.08,288.0
8,20000,marginal,0.211,0.4217,0.1617,0.04,278.5
8,20000,within_tissue,,,0.1617,0.0,475.5
8,20000,residualized,,,0.1617,0.0,475.5
8,20000,irm,,,0.1617,0.02,292.0
8,40000,marginal,0.2578,0.4263,0.1327,0.0,214.0
8,40000,within_tissue,,,0.1327,0.0,474.5
8,40000,residualized,,,0.1327,0.0,475.5
8,40000,irm,,,0.1327,0.0,285.0
8,80000,marginal,0.2828,0.4571,0.1505,0.02,196.5
8,80000,within_tissue,,,0.1505,0.0,475.5
8,80000,residualized,,,0.1505,0.0,474.5
8,80000,irm,,,0.1505,0.0,326.5
